WDID	Status	SSOq Population Served	Last Updated	Dev Plan Schedule DT	Goal DT	Org DT	Legal Auth DT	Operation Maint DT	Design Perf Prov DT	Overflow Emerg Resp Plan DT	Fog Cntl Program DT	Sys Eval Cap Assur Plan	Monit Meas Program Modi DT	SSMP Program Audit DT	Commun Program DT	Complete SSMP Impl DT	Five Year Update DT	Note	Url	SSMP Uploaded	
3SSO11415	Active	20	02/01/2011	01/31/2008	12/09/2008	12/09/2008	03/01/2010	03/01/2010	03/01/2010	03/01/2010	03/01/2010	03/01/2010	03/01/2010	03/01/2010	03/01/2010	03/01/2010				No	
3SSO11422	Active	4,500	05/08/2015	01/25/2008	04/28/2008	04/28/2008	10/30/2009	10/30/2009	04/30/2010	10/30/2009	10/30/2009	04/30/2010	04/30/2010	04/30/2010	04/30/2010	04/30/2010	04/24/2015	5-Year update approved by PBCSD Board of Directors April 24, 2015	www.pbcsd.org	No	
3SSO11426	Active	800	02/25/2014	06/30/2008	06/30/2009	06/30/2009	06/30/2009	06/30/2009	06/30/2009	06/30/2009	06/30/2009	06/30/2009	06/30/2009	06/30/2009	06/30/2009	06/30/2009	01/15/2014			No	
3SSO11429	Active	10,500	06/03/2014	10/08/2007	10/08/2007	10/08/2007	03/09/2009	03/09/2009	06/08/2009	02/20/2008	09/17/2008	06/08/2009	06/08/2009	06/08/2009	06/08/2009	06/08/2009	05/13/2014		www.morro-bay.ca.us/SSMP2014	Yes	
3SSO11443	Active	7,620	12/01/2014	09/01/2007	10/01/2007	10/16/2007	10/16/2007	08/12/2007	05/21/2006	10/16/2007	10/20/2006	05/21/2006	10/16/2007	10/16/2007	10/16/2007	10/16/2007	07/14/2014			No	
3SSO11455	Active	1,683	05/29/2012	11/01/2007	11/01/2007	11/01/2006	11/01/2006	08/01/2009	11/01/2006	08/01/2009	11/01/2006	11/01/2006	10/01/2009	10/01/2009	10/01/2009	05/22/2012				No	
3SSO11465	Active	33,500	07/01/2014	10/16/2007	10/16/2007	10/16/2007	11/12/2008	04/09/2009	03/04/2008	07/08/2008	04/16/2009	06/15/2009	06/16/2009	06/24/2009	06/19/2009	07/09/2009	07/01/2014	Updated SSMP certified by GWSD Board of Directors		Yes	
3SSO11469	Active	102,087	08/25/2014	11/02/2007	11/02/2007	11/02/2007	07/16/2008	12/23/0008	03/06/2009	12/23/0008	09/08/2008	05/20/2009	03/06/2009	03/06/2009	05/20/2009	08/10/0009	05/06/2014		http://www.cityofsantamaria.org/3113-SewerSystemManagementPlanUpdated2014.pdf	Yes	
3SSO11472	Active	3,600	10/07/2016	01/01/2008	03/12/2008	04/09/2008	03/19/2010	03/19/2010	03/19/2010	03/19/2010	03/19/2010	03/19/2010	03/19/2010	03/19/2010	03/19/2010	03/19/2010	03/19/2015			Yes	
3SSO11512	Active	3,900	11/16/2011	05/09/2011	03/04/2011	03/04/2011	03/04/2011	05/09/2011	05/09/2011	11/16/2011	05/09/2011	05/09/2011	11/16/2011	05/09/2011	05/09/2011	11/16/2011		This is a Privately Owned PUC Regulated Company		No	
3SSO11521	Active	400	03/25/2011	03/16/2011	03/16/2011	03/16/2011	03/16/2011	03/16/2011	03/16/2011	03/16/2011	03/16/2011	03/16/2011	03/16/2011	03/16/2011	03/16/2011	03/16/2011	03/16/2016			No	
3SSO11522	Active	152,000	10/05/2009	03/10/2009	04/30/2009	04/30/2009	04/30/2009	04/30/2009	04/30/2009	04/30/2009	04/30/2009	04/30/2009	04/30/2009	04/30/2009	04/30/2009	07/28/2009		City Council certification postponed from previous dates noted.  City Council final approval on 7/28/2009		No	
3SSO11524	Active	27,810	04/23/2013	08/15/2011	08/15/2011	08/15/2011	08/15/2011	08/15/2011	08/15/2011	08/15/2011	08/15/2011	08/15/2011	08/15/2011	08/15/2011	08/15/2011	08/15/2011	03/05/2013			No	
3SSO11526	Active	1,233	11/29/2011	11/10/2011	11/10/2011	11/10/2011	11/10/2011	11/10/2011	12/31/2012	11/10/2011	11/10/2011	12/31/2012	12/31/2012	12/31/2012	11/10/2011	11/10/2011	11/10/2011			No	
3SSO11527	Active	249	07/08/2011	07/07/2011	07/07/2011	07/07/2011	07/07/2011	07/07/2011	07/07/2011	07/07/2011	07/07/2011	07/07/2011	07/07/2011	07/07/2011	07/07/2011	07/07/2011	07/07/2016			No	
3SSO11528	Active	284	03/25/2011	03/16/2011	03/16/2011	03/16/2011	03/16/2011	03/16/2011	03/16/2011	03/16/2011	03/16/2011	03/16/2011	03/16/2011	03/16/2011	03/16/2011	03/16/2011	03/16/2016			No	
3SSO11534	Active	2,000	01/04/2011	11/02/2010	11/02/2010	11/02/2010	12/01/2010	12/01/2010	01/04/2011	12/01/2010	12/01/2010	01/04/2011	01/04/2011	01/04/2011	01/04/2011	01/04/2011	01/04/2016			No	
3SSO11608	Active	1,500	12/03/2010	10/15/2008	10/15/2008	10/15/2008	01/20/2010	01/20/2010	01/20/2010	01/20/2010	01/20/2010	01/20/2010	01/20/2010	01/20/2010	01/20/2010	01/20/2010	01/20/2015	Company was not aware of the requirement to compile with the SSO regulation.		No	
3SSO11609	Active	15,041	07/20/2015	06/19/2013	06/19/2013	06/19/2013	06/19/2013	06/19/2013	06/19/2013	06/19/2013	06/19/2013	06/19/2013	06/19/2013	06/19/2013	06/19/2013	06/19/2013	06/19/2013			No	
3SSO11650	Active	3,500	06/13/2012	03/04/2009	03/19/2009	04/01/2009	04/21/2009	05/06/2009	05/27/2009	06/03/2009	06/18/2009	07/14/2009	08/11/2009	08/25/2009	09/08/2009	10/26/0009				No	
3SSO18092	Active	1,710	09/03/2013		03/31/2010	03/31/2010	03/31/2010	03/31/2010	03/31/2010	03/31/2010	03/31/2010	03/31/2010	03/31/2010	09/03/2013	09/03/2013					No	
3SSO18097	Active	7,375																		No	
3SSO18100	Active	12,500																		No	
4SSO10348	Historical																			No	
4SSO10349	Active	3,773	06/27/2014	06/27/2014	06/27/2014	06/27/2014	06/27/2014	06/27/2014	06/27/2014	06/27/2014	06/27/2014	06/27/2014	06/27/2014	06/27/2014	06/27/2014	06/27/2014	06/27/2019		http://www.cityofavalon.com/content/3180/3554/default.aspx	Yes	
4SSO10350	Historical																			No	
4SSO10351	Active	27,500	07/27/2009	07/27/2009	07/27/2009	07/27/2009	07/27/2009	07/27/2009	07/27/2009	07/27/2009	07/27/2009	07/27/2009	07/27/2009	07/27/2009	07/27/2009	07/27/2009				No	
4SSO10353	Active	1400	05/25/2012	11/01/2007	11/01/2007	11/02/2007	05/25/2012	05/25/2012	05/25/2012	05/25/2012	05/25/2012	05/25/2012	05/25/2012	05/25/2012	05/25/2012	05/25/2012				No	
4SSO10354	Active	43,000	06/07/2012	11/02/2007	06/07/2012	06/07/2012	06/07/2012	06/07/2012	06/07/2012	06/07/2012	06/07/2012	06/07/2012	06/07/2012	06/07/2012	06/07/2012	06/07/2012				Yes	
4SSO10355	Active	18,000																		No	
4SSO10356	Active	0	02/26/2011	11/02/2007	11/02/2007	11/02/2007	05/01/2009	05/01/2009	02/25/2011	05/01/2009	05/01/2009	02/25/2011	02/25/2011	02/25/2011	02/25/2011	02/25/2011		The organization is a State University		No	
4SSO10357	Active	47,000	08/03/2011	10/24/2007	10/30/2007	10/30/2007	05/02/2009	05/02/2009	08/02/2009	05/02/2009	05/02/2009	08/02/2009	08/02/2009	08/02/2011	08/02/2009	08/02/2009				No	
4SSO10361	Active	17,742	12/08/2014	12/08/2014	12/08/2014	12/08/2014	12/08/2014	12/08/2014	12/08/2014	12/08/2014	12/08/2014	12/08/2014	12/08/2014	12/08/2014	12/08/2014	12/08/2014	12/08/2014			Yes	
4SSO10362	Active	89,700	06/03/2014	10/22/2007	10/22/2007	10/22/2007	05/01/2009	05/01/2009	08/01/2009	07/01/2006	05/01/2009	06/01/2007	08/01/2009	08/01/2009	08/01/2009	08/01/2009	04/14/2014		http://www.cityofalhambra.org/page/169/utility_department_reports/	No	
4SSO10363	Active	58,232	11/20/2014	11/07/2007	11/07/2007	11/07/2007	04/07/2009	04/07/2009	07/21/2009	04/07/2009	04/07/2009	07/21/2009	07/21/2009	07/21/2009	07/21/2009	07/21/2009	11/01/0014		http://www.ci.arcadia.ca.us/docs/ssmp__revised_nov_2014_.pdf	No	
4SSO10364	Active	7,608	07/31/2009	10/15/2007	10/15/2007	10/15/2007	04/13/2009	04/30/2009	07/31/2009	04/30/2009	04/30/2009	07/31/2009	07/31/2009	07/31/2009	07/31/2009	07/31/2009				No	
4SSO10365	Active	47,120	06/06/2012	10/15/2008	10/15/2008	10/15/2008	10/15/2008	10/18/2010	10/18/2010	10/18/2010	10/18/2010	10/18/2010	10/18/2010	10/18/2010	10/18/2010	10/18/2010				No	
4SSO10366	Active	81,608	08/03/2009	11/02/2007	11/02/2007	11/02/2007	05/02/2009	05/02/2009	05/02/2009	05/02/2009	05/02/2009	08/02/2009	08/02/2009	08/02/2009	08/02/2009	08/02/2009				No	
4SSO10367	Active	35,477	01/27/2015	12/11/2013	12/11/2013	12/11/2013	12/11/2013	12/11/2013	12/11/2013	12/11/2013	12/11/2013	12/11/2013	12/11/2013	12/11/2013	12/11/2013	12/11/2013	12/11/2018			Yes	
4SSO10368	Active	470,002	07/28/2014	10/22/2007	10/22/2007	10/22/2007	05/01/2009	05/01/2009	08/01/2009	05/01/2009	05/01/2009	08/01/2009	08/01/2009	08/01/2009	08/01/2009	08/01/2009	04/14/2014			No	
4SSO10369	Active	77,312	08/14/2014	10/22/2007	10/22/2007	10/22/2007	04/30/0009	04/30/0009	07/13/0009	04/30/0009	04/30/0009	07/13/0009	07/13/0009	07/13/0009	07/13/0009	07/13/0009	08/11/2014	5-Year SSMP Recertification	https://www.bellflower.org/docs/2014_bellflower_ssmp.pdf	Yes	
4SSO10370	Active	34,658	12/19/2012	12/18/2012	12/18/2012	12/18/2012	12/18/2012	12/18/2012	12/18/2012	12/18/2012	12/18/2012	12/18/2012	12/18/2012	12/18/2012	12/18/2012	12/18/2012	12/19/2017			No	
4SSO10371	Active	963	06/18/2014	08/19/2008	08/19/2008	08/19/2008	02/02/2010	02/02/2010	02/02/2010	02/02/2010	02/02/2010	08/02/2010	08/02/2010	08/02/2010	08/02/2010	08/02/2010	06/17/2014			Yes	
4SSO10373	Active	105,000	04/10/2014	07/24/2007	11/01/2007	11/01/2007	10/28/2008	10/29/2008	04/21/2009	10/29/2008	10/28/2008	04/21/2009	04/21/2009	04/21/2009	04/21/2009	04/21/2009	04/10/2014	No significant changes on our SSMP.	http://www.burbankca.gov/departments/public-works/water-reclamation-and-sewer/sewer-maintenance-emergency-overflows	No	
4SSO10374	Active	98,047	09/03/2015	10/02/2007	11/01/2007	11/01/2007	04/30/2009	04/30/2009	04/30/2009	04/30/2009	04/30/2009	07/07/2009	07/07/2009	07/07/2009	07/07/2009	07/07/2009	07/21/2015			Yes	
4SSO10375	Active	49,629	07/30/2009	10/25/2007	07/23/2009	07/23/2009	07/23/2009	07/23/2009	07/23/2009	07/23/2009	07/23/2009	07/23/2009	07/23/2009	07/23/2009	07/23/2009	07/23/2009				No	
4SSO10376	Active	34,900	06/18/2015	07/17/0007	07/17/0007	07/17/0007	12/06/2007	06/29/2009	06/29/2009	06/29/2009	11/23/2010	06/29/2009	06/29/2009	06/29/2009	06/29/2009	11/23/2010	04/28/2015		http://www.ci.claremont.ca.us/home/showdocument?id=1262	Yes	
4SSO10377	Active	13,581	11/04/2015	04/05/2011	04/05/2011	04/05/2011	04/05/2011	04/05/2011	04/05/2011	04/05/2011	04/05/2011	04/05/2011	04/05/2011	04/05/2011	04/05/2011	04/19/2011	11/03/2015			No	
4SSO10378	Active	96,455	11/15/2012	06/12/2012	06/12/2012	06/12/2012	06/12/2012	06/12/2012	06/12/2012	06/12/2012	06/12/2012	06/12/2012	06/12/2012	06/12/2012	06/12/2012	06/12/2012	06/12/2017			No	
4SSO10379	Active	48,876	12/18/2014	04/16/2007	04/16/2007	04/16/2007	04/30/2009	04/30/2009	07/21/2009	04/30/2009	04/30/2009	07/21/2009	07/21/2009	12/16/2014	07/21/2009	07/21/2009	12/16/2014	12_16_14 SSMP Update certified by City Council	http://covinaca.gov/citydepartments/public-works/sewers	Yes	
4SSO10380	Active	26,029	05/04/2011	04/29/2011	04/29/2011	04/29/2011	04/29/2011	04/29/2011	04/29/2011	04/29/2011	04/29/2011	04/29/2011	04/29/2011	04/29/2011	04/29/2011	05/03/2011				No	
4SSO10381	Active	39,691	07/16/2014	10/22/2007	10/22/2007	10/22/2007	10/22/2007	05/01/2009	07/13/2009	05/01/2009	05/01/2009	07/13/2009	07/13/2009	07/13/2009	07/13/2009	07/13/2009	06/23/2014		http://www.culvercity.org/~/media/Files/PW/EnvironmentalOps/SSMP_June%202014_updated_Final.ashx	Yes	
4SSO10382	Active	61,019	02/26/2015	10/02/2007	10/25/2007	10/25/2007	04/01/2009	04/01/2009	04/01/2009	04/01/2009	04/01/2009	04/01/2009	04/01/2009	04/01/2009	04/01/2009	04/01/2009	12/02/2014			Yes	
4SSO10383	Active	113,900	11/14/2008	08/02/2007	11/02/2007	11/02/2007	11/02/2008	11/02/2008	05/02/2009	11/02/2008	11/02/2008	05/02/2009	05/02/2009	05/02/2009	05/02/2009	05/02/2009				No	
4SSO10384	Active	23,124	03/02/2011	10/24/2007	10/29/2007	10/29/2007	05/02/2009	05/02/2009	08/02/2009	05/02/2009	05/02/2009	08/02/2009	08/02/2009	08/02/2009	08/02/2009	08/09/2009				No	
4SSO10385	Active	115,708	04/28/2009	08/07/2007	04/21/2009	04/21/2009	04/21/2009	04/21/2009	04/21/2009	04/21/2009	04/21/2009	04/21/2009	04/21/2009	04/21/2009	04/21/2009	04/21/2009				No	
4SSO10386	Active	16,700	12/15/2014	10/02/2007	10/02/2007	10/02/2007	05/02/2009	05/02/2009	08/02/2009	01/15/2008	05/02/2009	08/02/2009	08/02/2009	08/02/2009	08/02/2009	08/02/2009	12/02/2014	updated and certified by City Council on 12/02/14	http://www.elsegundo.org/depts/works/documents.asp	No	
4SSO10387	Active	60,000	04/17/2012	09/11/2007	09/11/2007	09/11/2007	09/11/2007	09/11/2007	09/30/2008	09/30/2008	09/30/2008	11/30/2008	12/30/2009	12/30/2009	12/30/2009	09/01/2010	04/17/2012	As discusses with Victor Lopez		No	
4SSO10388	Active	194,478	06/05/2014	08/07/2007	10/31/2008	10/31/2008	04/28/2009	04/28/2009	04/28/2009	04/28/2009	04/28/2009	04/28/2009	04/28/2009	04/28/2009	04/28/2009	04/28/2009	04/29/2014			Yes	
4SSO10389	Active	52,830	04/03/2015	07/28/2009	07/28/2009	07/28/2009	07/28/2009	07/28/2009	07/28/2009	07/28/2009	07/28/2009	07/28/2009	07/28/2009	07/28/2009	07/28/2009	07/28/2009	04/03/2015			No	
4SSO10390	Active	11,884	02/18/2015	11/01/2007	11/01/2007	11/01/2007	07/28/2009	05/01/2009	07/28/2009	05/01/2009	05/01/2009	07/28/2009	07/28/2009	07/28/2009	07/28/2009	07/28/2009	02/10/2015			No	
4SSO10391	Active	90,000	12/03/2013	10/29/2007	10/29/2007	10/29/2007	04/30/2009	04/30/2009	04/30/2009	04/30/2009	04/30/2009	07/24/2009	07/24/2009	07/24/2009	07/24/2009	07/24/2009				Yes	
4SSO10392	Active	19,557	05/17/2012	10/23/2007	10/23/2007	10/23/2007	05/02/2009	07/28/2009	07/28/2009	07/28/2009	07/28/2009	07/28/2009	07/28/2009	07/28/2009	07/28/2009	07/29/2009	08/02/2014			No	
4SSO10393	Active	63,000	10/05/2007	09/15/2007	09/15/2007	09/15/2007	09/15/2007	09/15/2007	09/15/2007	09/15/2007	09/15/2007	09/15/2007	09/15/2007	09/15/2007	09/15/2007	09/15/2007				No	
4SSO10394	Active	803	12/18/2014	10/25/2007	10/25/2007	10/25/2007	04/23/2009	04/23/2009	04/23/2009	04/23/2009	04/23/2009	04/23/2009	04/23/2009	04/23/2009	04/23/2009	07/23/2009	12/11/2014			No	
4SSO10395	Active	120,000	06/11/2009	05/01/2007	05/01/2007	05/01/2009	05/01/2009	05/01/2009	05/01/2009	05/01/2009	05/01/2009	05/01/2009	05/01/2009	05/01/2009	05/01/2009	05/01/2009				No	
4SSO10396	Active	1,717	04/07/2011	04/23/2008	04/23/2008	04/23/2008	04/23/2008	04/23/2008	04/23/2008	04/23/2008	04/23/2008	04/23/2008	04/23/2008	04/23/2008	04/23/2008	04/23/2008				No	
4SSO10397	Active	21,261	12/19/2013	10/01/2007	10/29/2007	10/29/2007	12/15/2008	12/15/2008	12/15/2008	12/15/2008	12/15/2008	12/15/2008	12/15/2008	12/15/2008	12/15/2008	12/15/2008	12/02/2013			No	
4SSO10398	Active	6,161	10/25/2016	07/29/2010	07/29/2010	07/29/2010	07/29/2010	07/29/2010	07/29/2010	07/29/2010	07/29/2010	07/29/2010	07/29/2010	07/29/2010	07/29/2010	08/12/2010	10/13/2016			Yes	
4SSO10399	Active	50,015	02/01/2011	11/01/2007	11/01/2007	11/01/2007	07/28/2009	07/28/2009	07/28/2009	07/28/2009	07/28/2009	07/28/2009	07/28/2009	07/28/2009	07/28/2009	07/28/2009	07/28/2014			No	
4SSO10400	Active	39,816	02/10/2011	10/22/2007	10/22/2007	10/22/2007	05/01/2009	05/01/2009	07/28/2009	05/01/2009	05/01/2009	07/28/2009	07/28/2009	07/28/2009	07/28/2009	07/28/2009		Per City's Resolution No.09-4819		No	
4SSO10401	Active	34,325	07/29/2015	11/01/2007	11/01/2007	11/01/2007	05/01/2009	09/05/2012	08/03/2009	09/05/2012	05/04/2009	08/03/2009	08/03/2009	08/03/2009	08/03/2009	08/03/2009	09/17/2014			No	
4SSO10402	Active	83,636	07/30/2014	07/30/2014	07/30/2014	07/30/2014	07/30/2014	07/30/2014	07/30/2014	07/30/2014	07/30/2014	07/30/2014	07/30/2014	07/30/2014	07/30/2014	07/30/2014	07/30/2014	No Changes to SSMP		Yes	
4SSO10403	Active	33,641	03/10/2015	03/02/2015	03/02/2015	03/02/2015	03/02/2015	03/02/2015	03/02/2015	03/02/2015	03/02/2015	03/02/2015	03/02/2015	03/02/2015	03/02/2015	03/02/2015	03/02/2015			Yes	
4SSO10404	Active	21,015	03/06/2017	01/19/2016	10/18/2016	10/18/2016	10/18/2016	10/18/2016	10/18/2016	10/18/2016	10/18/2016	10/18/2016	10/18/2016	10/18/2016	10/18/2016	02/07/2017				Yes	
4SSO10407	Active	71,061	05/23/2012	07/21/2009	07/21/2009	07/21/2009	05/07/2009	05/07/2009	07/21/2009	05/07/2009	05/07/2009	07/21/2009	07/21/2009	07/21/2009	07/21/2009	07/21/2009				No	
4SSO10408	Active	36,051	03/29/2010	10/02/2007	07/01/2007	07/01/2007	04/20/2009	04/20/2009	09/01/2009	04/20/2009	07/01/2009	09/01/2009	09/01/2009	09/01/2009	09/01/2009	09/01/2009				No	
4SSO10409	Active	28,000	09/26/2012	08/25/2009	08/25/2009	08/25/2009	08/25/2009	08/25/2009	08/25/2009	08/25/2009	08/25/2009	08/25/2009	08/25/2009	08/25/2009	08/25/2009	08/25/2009				No	
4SSO10410	Active	37,000	10/14/2016	10/14/2016	10/14/2016	10/14/2016	10/14/2016	10/14/2016	10/14/2016	10/14/2016	10/14/2016	10/14/2016	10/14/2016	10/14/2016	10/14/2016	10/14/2016	10/14/2016			Yes	
4SSO10411	Active	62,150	07/31/2009	10/29/0007	10/29/0007	10/29/0007	05/01/2009	05/01/2009	07/22/2009	05/01/2009	05/01/2009	07/22/2009	07/22/2009	07/22/2009	07/22/2009	07/22/2009				No	
4SSO10412	Active	62,000	04/27/2012	07/10/2009	07/10/2009	07/10/2009	07/10/2009	07/10/2009	07/10/2009	07/10/2009	07/10/2009	07/10/2009	07/10/2009	07/10/2009	07/10/2009	07/10/2009	07/10/2014			No	
4SSO10413	Active	110,040	12/31/2014	12/16/2014	12/16/2014	12/16/2014	12/16/2014	12/16/2014	12/16/2014	12/16/2014	12/16/2014	12/16/2014	12/16/2014	12/16/2014	12/16/2014	12/16/2014	12/16/2014			Yes	
4SSO10414	Active	14,085	02/02/2015	10/23/2007	10/23/2007	10/23/2007	05/01/2009	05/01/2009	05/01/2009	05/01/2009	05/01/2009	07/29/2009	07/29/2009	07/29/2009	07/29/2009	07/29/2009	01/14/2015			Yes	
4SSO10415	Active	57,989	08/25/2014	10/02/2007	11/05/2007	11/05/2007	04/29/2009	04/29/2009	07/07/2009	04/29/2009	04/29/2009	07/07/2009	07/07/2009	07/07/2009	07/07/2009	07/07/2009	08/11/2014	City Council Action has been complete		No	
4SSO10416	Active	146,000	07/25/2012	06/26/2006	05/02/2007	05/02/2007	05/02/2007	05/02/2007	01/22/2007	05/02/2007	05/02/2007	01/22/2007	05/02/2007	04/29/2009	04/29/2009	05/18/2009				No	
4SSO10417	Active	66,967	07/24/2014	05/26/2009	05/26/2009	05/26/2009	05/02/2009	05/02/2009	05/02/2009	05/02/2009	05/02/2009	07/28/2009	07/28/2009	07/28/2009	07/28/2009	07/28/2009	07/22/2014			Yes	
4SSO10418	Active	150,812	11/07/2013	02/02/2007	11/02/2007	11/02/2007	10/23/2008	10/23/2008	04/22/2009	10/23/2008	10/23/2008	04/22/2009	04/22/2009	04/22/2009	04/22/2009	04/22/2009	10/21/2013	2013 SSMP is 5yr recertifcation of 2008 SSMP	http://www.ci.pomona.ca.us/mm/pubwrks/pdf/2013_SSMP_Final_10-08-13.pdf	Yes	
4SSO10419	Active	22,399	07/20/2016	05/16/2016	05/16/2016	05/16/2016	05/16/2016	05/16/2016	05/16/2016	05/16/2016	05/16/2016	05/16/2016	05/16/2016	05/16/2016	05/16/2016	05/16/2016	05/16/2016			Yes	
4SSO10420	Active	42,893	02/01/2016	06/30/2006	10/16/2007	10/16/2007	04/30/2009	04/30/2009	04/30/2009	04/30/2009	04/30/2009	07/21/2009	07/21/2009	07/21/2009	07/21/2009	07/21/2009	04/07/2015			Yes	
4SSO10421	Active	68,095	10/20/2016	12/15/2015	12/15/2015	12/15/2015	12/15/2015	12/15/2015	12/15/2015	12/15/2015	12/15/2015	12/15/2015	12/15/2015	12/15/2015	12/15/2015	12/15/2015	12/15/2015		\\crb-dfs2\data\CHShare\ENG\SSMP\2015_SSMP Audit_AKM\Redondo Beach SSMP 2015.pdf 	No	
4SSO10423	Active	8,157	10/24/2014	12/05/2007	12/05/2007	12/05/2007	10/13/2009	10/13/2009	10/13/2009	10/13/2009	10/13/2009	10/13/2009	10/13/2009	10/13/2009	10/13/2009	10/13/2009	10/23/2014	Non-Substantive Update	http://dpw.lacounty.gov/smd/smd/ssmp.pdf	Yes	
4SSO10424	Active	57,756	02/28/2012	11/20/2007	08/25/2009	08/25/2009	08/25/2009	08/25/2009	08/25/2009	08/25/2009	08/25/2009	08/25/2009	08/25/2009	08/25/2009	08/25/2009	08/25/2009	02/28/2012			No	
4SSO10425	Active	36,946	02/26/2015	05/02/2007	05/02/2007	05/02/2007	05/02/2007	05/02/2007	05/02/2007	05/02/2007	05/02/2007	05/02/2007	05/02/2007	05/02/2007	05/02/2007	08/12/2010	02/19/2015			No	
4SSO10426	Active	23,880	12/08/2014	10/01/2007	08/30/2007	10/16/2007	05/01/2009	05/01/2009	07/31/2009	05/01/2009	05/01/2009	07/31/2009	07/31/2009	07/31/2009	07/31/2009	07/31/2009				Yes	
4SSO10427	Active	40,000	10/21/2009	02/19/2008	02/19/2008	02/19/2008	10/20/2009	10/20/2009	10/20/2009	10/20/2009	10/20/2009	10/20/2009	10/20/2009	10/20/2009	10/20/2009	10/20/2009		Approved by City Council on October 20, 2009		No	
4SSO10428	Active	13,000	07/09/2014	10/10/2007	11/01/2007	11/01/2007	04/30/2009	04/30/2009	07/08/2009	04/30/2009	04/30/2009	07/08/2009	07/08/2009	07/08/2009	07/08/2009	07/31/2009	07/09/2014			No	
4SSO10429	Active	177,641	07/16/2015	08/28/2007	11/02/2007	11/02/2007	10/28/2008	05/06/2008	01/26/2009	05/06/2008	05/06/2008	10/13/2009	05/06/2008	03/16/2010	05/06/2008	05/26/2009	03/24/2015			No	
4SSO10430	Active	17,929	02/09/2011	08/02/2007	11/02/2007	11/02/2007	11/02/2008	11/02/2008	05/02/2009	11/02/2008	11/02/2008	05/02/2009	05/02/2009	05/02/2009	05/02/2009	05/02/2009	05/02/2014			No	
4SSO10431	Active	93,283	08/13/2014	10/28/2007	10/23/2007	10/23/2007	02/02/2009	04/01/2009	04/15/2009	05/04/2009	06/30/2009	06/30/2009	06/30/2009	06/30/2009	06/30/2009	07/30/2009	08/12/2014		http://www.smgov.net/uploadedFiles/Departments/Public_Works/Water/Sewer%20System%20Management%20Plan.pdf	No	
4SSO10432	Active	11,094	10/14/2014	06/07/2007	06/07/2007	06/07/2007	06/23/2009	05/01/2009	06/23/2009	05/01/2009	06/23/2009	09/08/2009	09/08/2009	09/08/2009	09/08/2009	09/08/2009	09/09/2014	City Council Resolution 14-68	http://cityofsierramadre.com/i-want-to/find/documents/category/15-public-works-documents?download=1186:sewer-system-management-plan-august-2014	Yes	
4SSO10433	Historical																			No	
4SSO10434	Active	22,627	07/01/2015	11/02/2007	11/02/2007	11/02/2007	05/01/2009	05/01/2009	08/02/2009	05/01/2009	05/01/2009	06/02/2009	06/02/2009	06/02/2009	06/02/2009	06/23/2009	05/21/2015			Yes	
4SSO10435	Active	95,115	04/03/2017	01/17/2016	01/17/2017	01/17/2017	01/17/2017	01/17/2017	01/17/2017	01/17/2017	01/17/2017	01/17/2017	01/17/2017	01/17/2017	01/17/2017	01/17/2017	01/17/2022			Yes	
4SSO10436	Active	25,824	03/23/2010	10/03/2007	10/03/2007	10/03/2007	04/15/2009	04/30/2009	07/15/2009	04/30/2009	05/16/2009	07/15/2009	07/15/2009	07/15/2009	07/15/2009	07/15/2009				No	
4SSO10437	Active	35,892	04/08/2015	07/17/2007	07/17/2007	07/17/2007	04/30/2009	04/30/2009	07/21/2009	04/30/2009	04/30/2009	07/21/2009	07/21/2009	07/21/2009	07/21/2009	07/21/2009	04/07/2015			Yes	
4SSO10439	Active	149,000	02/10/2011	02/01/2007	11/02/2007	11/02/2007	12/18/2009	12/18/2009	12/18/2009	12/18/2009	12/18/2009	12/18/2009	12/18/2009	12/18/2009	12/18/2009	12/18/2009				No	
4SSO10440	Active	55,000	05/13/2016	10/15/2007	10/23/2007	10/23/2007	04/23/2009	04/23/2009	07/27/2009	04/23/2009	04/23/2009	07/27/2009	07/27/2009	07/27/2009	07/27/2009	07/27/2009	05/09/2016			No	
4SSO10441	Active	32,659	06/25/2015	10/10/2007	10/10/2007	10/10/2007	04/22/2009	04/22/2009	10/10/2007	04/22/2009	04/22/2009	10/10/2007	10/10/2007	04/16/2010	10/10/2007	04/22/2009	06/25/2015			Yes	
4SSO10442	Active	111,400	04/30/2014	06/19/2007	11/01/2007	11/01/2007	10/30/2008	10/30/2008	04/27/2009	10/30/2008	10/30/2008	04/27/2009	04/27/2009	04/27/2009	04/27/2009	04/27/2009	04/30/2014	5 year update	http://www.westcovina.org/cityhall/pw/engineering/sewer_system_management_plan.asp	No	
4SSO10443	Active	87,000	12/10/2014	10/23/2007	10/23/2007	10/23/2007	05/01/2009	05/01/2009	07/28/2009	05/01/2009	05/01/2009	07/28/2009	07/28/2009	07/28/2009	07/28/2009	07/28/2009	12/09/2014		http://www.cityofwhittier.org/civicax/filebank/blobdload.aspx?blobid=4554	Yes	
4SSO10444	Active	32,710	02/22/2016	07/23/2014	07/23/2014	07/23/2014	07/23/2014	07/23/2014	07/23/2014	07/23/2014	07/23/2014	07/23/2014	07/23/2014	07/23/2014	07/23/2014	07/23/2014	07/23/2014		www.cvwd.com	No	
4SSO10445	Active	4,000	12/14/2015																	Yes	
