WDID	Status	Region	Agency	Collection System	County	LRO	Address Type	Street	City	Zip	Adopt Or Issuance Date	Effective Date	Expiration or Review Date	Termination Date	
3SSO10323	Active	3	Santa Cruz CSA 05	Sand Dollar Beach CS	Santa Cruz	Beatriz Barranco	AGENCY Mailing	701 Ocean Street 	Santa Cruz	95060		11/16/2006			
3SSO10324	Active	3	Santa Cruz County Public Works	Santa Cruz County CS	Santa Cruz	Edward Robert Luboff	AGENCY Mailing	701 Ocean Street 4th floor	Santa Cruz	95060		11/16/2006			
3SSO10325	Historical	3	Santa Cruz CSA 20	Santa Cruz County Csa # 20 CS	Santa Cruz	Thomas  Bolich CSA 20	AGENCY Mailing	701 Ocean Street 	Santa Cruz	95060		11/16/2006			
3SSO10326	Active	3	Santa Cruz CSA 07	Boulder Crk Golf & Cntry Club CS	Santa Cruz	Beatriz Barranco	AGENCY Mailing	701 Ocean Street 	Santa Cruz	95060		11/16/2006			
3SSO10329	Active	3	Santa Lucia CSD	Santa Lucia Csd CS	Monterey	Leif  Utegaard	AGENCY Physical	1 Pronghorn Run Road 	Carmel	93923		07/27/2006			
3SSO10330	Active	3	Santa Ynez CSD	Santa Ynez C.S.D. CS	Santa Barbara	Jeffrey W Hodge	AGENCY Mailing	 PO Box 641  	Santa Ynez	93460		08/21/2006			
3SSO10331	Active	3	Scotts Valley City	Scotts Valley CS	Santa Cruz	Scott Hamby	AGENCY Mailing	2 Civic Center Drive 	Scotts Valley	95066		07/25/2006			
3SSO10332	Active	3	South County Regional WW Authority	South County Regional WW Authority CS	Santa Clara	Karl Bjarke	AGENCY Mailing	1500 Southside Drive 	Gilroy	95020		11/22/2006			
3SSO10334	Active	3	Seaside CSD	Seaside Co Sd CS	Monterey	Scott Ottmar	AGENCY Mailing	610 Olympia Avenue 	Seaside	93955		12/05/2007			
3SSO10335	Active	3	Soledad City	Sewage Treatment Plant CS	Monterey	Edward Alexandre	AGENCY Mailing	 PO Box 156  	Soledad	93960		07/24/2007			
3SSO10336	Active	3	Solvang City	Solvang CS	Santa Barbara	Nathan Giacinto	AGENCY Mailing	1644 Oak Street 	Solvang	93463					
3SSO10337	Active	3	South San Luis Obispo CSD	South San Luis Obispo Sd CS	San Luis Obispo	Gerhardt  Hubner	AGENCY Mailing	 PO Box 339  	Oceano	93445		11/28/2006			
3SSO10338	Active	3	Summerland SD	Summerland CS	Santa Barbara	James McManus	AGENCY Mailing	 PO Box 417  	Summerland	93067		09/05/2006			
3SSO10340	Active	3	Gilroy City	Gilroy CS	Santa Clara	David  Stubchaer	AGENCY Mailing	7351 Rosanna Street 	Gilroy	95020		12/06/2006			
3SSO10341	Active	3	Tres Pinos WD	Tres Pinos CS	San Benito	Christopher Hauge	AGENCY Mailing	 PO Box 529  	Tres Pinos	95075		07/17/2006			
3SSO10343	Active	3	UC Santa Barbara	UC Santa Barbara CS	Santa Barbara	Ali  Aghayan	AGENCY Physical	 Facilities Management Bldg 439  	Santa Barbara	93106		11/08/2006			
3SSO10344	Active	3	UC Santa Cruz	UC Santa Cruz CS	Santa Cruz	Justin Delemus	AGENCY Mailing	1156 High Street 	Santa Cruz	95064		11/13/2006			
3SSO10345	Active	3	Vandenberg Village CSD	Vandenberg Village CSD CS	Santa Barbara	Michael Garner	AGENCY Mailing	3757 Constellation Road 	Vandenberg Village	93436		08/10/2006			
3SSO10346	Historical	3	Los Osos Baywood Park CSD	Vista De Oro Subdivision CS	San Luis Obispo	Stan  Gustafson	AGENCY Mailing	 PO Box 6064  	Los Osos	93412				01/27/2009	
3SSO10347	Active	3	Watsonville City	Watsonville CS	Santa Cruz	Dewey Garrett	AGENCY Mailing	250 Main Street 	Watsonville	95077		10/19/2006			
3SSO11191	Active	3	Ca Dept of Corrections & Rehabilitation	Correctional Training Facility CS	Monterey	Refugio Jimenez	AGENCY Mailing	9838 Old Placerville Road B	Sacramento	95827		10/30/2006			
3SSO11216	Active	3	Morro Bay & Cayucos SD	Cayucos CS	San Luis Obispo	Jonathan Collins	LRO Mailing	200 Ash Avenue 	Cayucos	93430	05/02/2006	01/09/2007	05/02/2011		
3SSO11408	Active	3	Hollister City	Hollister Municipal Sewer System CS	San Benito	Henry Gonzales	AGENCY Mailing	375 Fifth St Street 	Hollister	95023		12/28/2006			
3SSO11415	Active	3	Ca Dept of Corrections & Rehabilitation	Estrella Correctional Facility CS	San Luis Obispo	Mark L Elliott	AGENCY Mailing	9838 Old Placerville Road B	Sacramento	95827	05/02/2006	01/02/2007	05/02/2011		
3SSO11420	Historical	3	US Air Force Vandenberg Air Force Base	Vandenberg Air Force Base South Base CS	Santa Barbara		AGENCY Contact	1175 Iceland Ave  	Vandenberg AFB	93437	05/02/2006	01/05/2007		09/07/2007	
3SSO11422	Active	3	Pebble Beach Community Service District	Pebble Beach CSD CS	Monterey	Michael  Niccum	LRO Mailing	3101 Forest Lake Road 	Pebble Beach	93953	05/02/2006	01/05/2007	05/02/2011		
3SSO11426	Active	3	Embarcadero Municipal Improvement District	Embarcadero Municipal Improvement District CS	Santa Barbara	Susan Paxton Koesterer	AGENCY Mailing	224 Vereda Leyenda  	Goleta	93117	05/02/2006	01/05/2007	05/02/2011		
3SSO11429	Active	3	Morro Bay City Administration Services Dept	City of Morro Bay CS	San Luis Obispo	John Gunderlock	AGENCY Mailing	595 Harbor Street 	Morro Bay	93442	05/02/2006	01/08/2007	05/02/2011		
3SSO11443	Active	3	Castroville Water District	Castroville Water District CS	Monterey	James Tynan	AGENCY Mailing	11499 Geil Street 	Castroville	95012	05/02/2006	01/05/2007	05/02/2011		
3SSO11455	Active	3	Santa Barbara Municipal Airport	Santa Barbara Municipal Airport CS	Santa Barbara	Tracy C Lincoln	AGENCY Mailing	601 Firestone Road 	Santa Barbara	93117	05/02/2006	01/08/2007	05/02/2011		
3SSO11465	Active	3	Goleta West SD	Goleta West SD CS	Santa Barbara	Mark Nation	AGENCY Mailing	 PO Box 4  	Goleta	93116		05/02/2006			
3SSO11469	Active	3	City of Santa Maria	City of Santa Maria CS	Santa Barbara	Shad S. Springer	AGENCY Contact	2065 Main Street 	Santa Maria	93454		05/02/2006			
3SSO11472	Active	3	Ca Dept of Corrections & Rehabilitation	Salinas Valley State Prison CS	Monterey	Sam  Ochoa	AGENCY Mailing	9838 Old Placerville Road B	Sacramento	95827	05/02/2006	01/04/2007	05/02/2011		
3SSO11494	Historical	3	US Air Force Vandenberg Air Force Base	Vandenberg Air Force Base North Base CS	Santa Barbara		AGENCY Contact	1175 Iceland Ave  	Vandenberg AFB	93437		04/12/2007		09/07/2007	
3SSO11512	Active	3	California Utilities Service	California Utilities Service CS	Monterey	Lotfi  Boukraa	AGENCY Mailing	 PO Box 5100  	Salinas	93915		12/26/2007			
3SSO11521	Active	3	Ca Dept of Parks & Rec Tahoma	Hearst Monument State Park CS	San Luis Obispo	Tom Kidder	AGENCY Contact	 PO Box 266  	Tahoma	96142		04/28/2008			
3SSO11522	Active	3	Salinas City	Salinas Industrial Wastewater CS	Monterey	Gary Gabriel	AGENCY Mailing	200 Lincoln Avenue 	Salinas	93901		05/08/2008			
3SSO11524	Active	3	Monterey City	Monterey City CS	Monterey	Kimberly Ann Cole	AGENCY Mailing	580 Pacific Street 	Monterey	93940		05/28/2008			
3SSO11526	Active	3	Little Bear Water Company Inc	Domestic Wastewater CS	Monterey	Richard Hiwa	AGENCY Mailing	51201 Pine Canyon Road 125	King City	93930		06/03/2008			
3SSO11527	Active	3	Ca Dept of Parks & Rec Tahoma	Morro Bay State Park CS	San Luis Obispo	Tom Kidder	AGENCY Contact	 PO Box 266  	Tahoma	96142		07/07/2008			
3SSO11528	Active	3	Ca Dept of Parks & Rec Tahoma	San Simeon State Park CS	San Luis Obispo	Tom Kidder	AGENCY Contact	 PO Box 266  	Tahoma	96142		07/07/2008			
3SSO11532	Historical	3	Monterey County Public Works Department	Moss Landing CS	Monterey	Edward  Muniz	LRO Contact	168 Alisal Street 	Salinas	93901		09/22/2008		07/02/2014	
3SSO11534	Active	3	San Luis Obispo Cnty PWD	Lopez Lake Recreation Area CS	San Luis Obispo	Donovan Grife	AGENCY Mailing	1055 Monterey Street 207	San Luis Obispo	93408		01/26/2009			
3SSO11608	Active	3	San Miguelito Mutual Water Company	San Miguelito Mutual Water Company CS	San Luis Obispo	Dan Migliazzo	AGENCY Mailing	6680 Bay Laurel Place 	Avila Beach	93424		10/15/2008			
3SSO11609	Active	3	Pacific Grove City	Pacific Grove City CS	Monterey	Daniel  Gho	AGENCY Mailing	300 Forest Avenue 	Pacific Grove	93950		11/17/2010			
3SSO11650	Active	3	Ca Dept of Mental Health	Atascadero ST Hospital CS	San Luis Obispo	Steven Miller	LRO Mailing	 PO Box 7006  	Atascadero	93423		06/04/2007	04/11/2011		
3SSO18092	Active	3	Monterey County Public Works Department	Boronda Sanitation District CS	Monterey	Lynette Redman	LRO Mailing	168 Alisal Street 	Salinas	93901		08/19/2008			
3SSO18097	Active	3	Pajaro County Sanitation District	Pajaro CSD CS	Monterey	Lynette Redman	AGENCY Mailing	168 Alisal Street 	Salinas	93901	04/29/2013	04/29/2013	04/28/2028		
3SSO18100	Active	3	County of San Luis Obispo Dept. of Public Works	Los Osos Water Recycling Facility CS	San Luis Obispo	Charles Christian	AGENCY Mailing	 County Government Center  Room 206	San Luis Obispo	93408		03/10/2016	04/28/2028		
4SSO10348	Historical	4	Los Angeles Cnty Health Dept	Acton Rehabilitation Center CS	Los Angeles	Fred  Duggan	LRO 					11/13/2006	12/31/2009		
4SSO10349	Active	4	Avalon City	Avalon CS	Los Angeles	Van Madding	AGENCY Mailing	 PO Box 707  	Avalon	90704		08/17/2006	12/31/2009		
4SSO10350	Historical	4	Burbank City DPW	Burbank Water Rec. Plant CS	Los Angeles		AGENCY Mailing	 PO Box 6459  	Burbank	91510				01/26/2009	
4SSO10351	Active	4	California State Polytechnic University - Pomona	CSU Polytechnic Pomona CS	Los Angeles	Leon Krebs	AGENCY Mailing	3801 Temple Avenue bldg 98, rm1-37	Pomona	91768		11/21/2006	12/31/2009		
4SSO10353	Active	4	CSU Dominguez Hills	CSU Dominguez Hills CS	Los Angeles	Jonathan Scheffler	AGENCY Mailing	1000 Victoria Street 	Carson	90747		11/17/2006	12/31/2009		
4SSO10354	Active	4	CSU Long Beach	CSU Long Beach CS	Los Angeles	Robert Quirk	AGENCY Contact	6300 State University Drive 280	Long Beach	90815		11/21/2006	12/31/2009		
4SSO10355	Active	4	CSU Los Angeles	CSU Los Angeles CS	Los Angeles	Mark  Facio	AGENCY Mailing	5151 State University Drive 	Los Angeles	90032		10/25/2006	12/31/2009		
4SSO10356	Active	4	CSU Northridge	CSU Northridge CS	Los Angeles	Anthony J Pepe	AGENCY Mailing	18111 Nordhoff Street 	Northridge	91330	05/02/2006	02/06/2007	05/02/2011		
4SSO10357	Active	4	Camarillo Sanitary District	Camarillo Water Reclam. Plant CS	Ventura	David  Klotzle	AGENCY Mailing	 PO Box 248  	Carmarillo	93011		07/25/2006	12/31/2009		
4SSO10361	Active	4	Camrosa Water District	Camrosa CS	Ventura	Robert  Barone	AGENCY Mailing	7385 Santa Rosa Road 	Camarillo	93012		10/11/2006	12/31/2009		
4SSO10362	Active	4	Alhambra City	Alhambra City CS	Los Angeles	David  Dolphin	AGENCY Mailing	111 First Street 	Alhambra	91801		11/21/2006	12/31/2009		
4SSO10363	Active	4	Arcadia City, Public Works Services Dept	Arcadia City CS	Los Angeles	Vanessa Hevener	AGENCY Mailing	11800 Goldring Road 	Arcadia	91006		11/21/2006	12/31/2009		
4SSO10364	Active	4	Artesia City	Artesia City CS	Los Angeles	Robert Swartz	AGENCY Mailing	18747 Clarksdale Avenue 	Artesia	90670		08/21/2006	12/31/2009		
4SSO10365	Active	4	Azusa City	Azusa City CS	Los Angeles	James  Makshanoff	AGENCY Mailing	213 Foothill Boulevard 	Azusa	91702		11/27/2006	12/31/2009		
4SSO10366	Active	4	Baldwin Park City	Baldwin Park City CS	Los Angeles	Robert Swartz	AGENCY Mailing	14403 Pacific Avenue 	Baldwin Park	91803		11/21/2006	12/31/2009		
4SSO10367	Active	4	Bell City	Bell City CS	Los Angeles	Alex  Fong	AGENCY Mailing	6330 Pine Avenue 	Bell	90201		12/06/2006	12/31/2009		
4SSO10368	Active	4	Bell Gardens City	Bell Gardens City CS	Los Angeles	Robert Swartz	AGENCY Mailing	8327 Garfield Avenue 	Bell Gardens	90201		10/10/2006	12/31/2009		
4SSO10369	Active	4	Bellflower City	Bellflower City CS	Los Angeles	Bernardo Iniguez	AGENCY Mailing	16600 Civic Center Drive 	Bellflower	90706		11/08/2006	12/31/2009		
4SSO10370	Active	4	Beverly Hills City DPW	Beverly Hills City CS	Los Angeles	Josette Descalzo	AGENCY Mailing	345 Foothill Road 	Beverly Hills	90210		11/21/2006	12/31/2009		
4SSO10371	Active	4	Bradbury City	Bradbury City CS	Los Angeles	Robert Swartz	AGENCY Mailing	600 Winston Avenue 	Bradbury	91008		11/21/2006	12/31/2009		
4SSO10373	Active	4	Burbank City DPW	Burbank City, Public Works CS	Los Angeles	Stephen  Walker	AGENCY Mailing	 PO Box 6459  	Burbank	91510		11/17/2006	12/31/2009		
4SSO10374	Active	4	Carson City	Carson City CS	Los Angeles	Alexander  Villarama	AGENCY Mailing	 PO Box 6234  	Carson	90749		12/12/2006	12/31/2009		
4SSO10375	Active	4	Cerritos City	Cerritos City CS	Los Angeles	Mike  O'Grady	AGENCY Mailing	18125 Bloomfield Avenue 	Cerritos	90703		11/21/2006	12/31/2009		
4SSO10376	Active	4	Claremont City	Claremont City CS	Los Angeles	Cari Sneed	LRO Mailing	1616 Monte Vista Avenue 	Claremont	91711		11/21/2006	12/31/2009		
4SSO10377	Active	4	Commerce City	Commerce City CS	Los Angeles	Gina Nila	AGENCY Mailing	2535 Commerce Way 	Commerce	90040		11/21/2006	12/31/2009		
4SSO10378	Active	4	Compton City	Compton City CS	Los Angeles	Louis  McKenzie	AGENCY Mailing	205 Willobrook Avenue 	Compton	90220		01/02/2007	12/31/2009		
4SSO10379	Active	4	Covina City	Covina City CS	Los Angeles	Siobhan Foster	AGENCY Mailing	 Covina  	Covina	91723		08/24/2006	12/31/2009		
4SSO10380	Active	4	Cudahy City	Cudahy City CS	Los Angeles	Robert Swartz	AGENCY Mailing	5220 Santa Anna Street 	Cudahy	91803		11/17/2006	12/31/2009		
4SSO10381	Active	4	Culver City	Culver City CS	Los Angeles	Damian Skinner	AGENCY Mailing	9770 Culver Boulevard 	Culver City	90232		11/21/2006	12/31/2009		
4SSO10382	Active	4	Diamond Bar City	Diamond Bar City CS	Los Angeles	Alexander  Villarama	AGENCY Mailing	21825 Copley Drive 	Diamond Bar	91765		11/21/2006	12/31/2009		
4SSO10383	Active	4	Downey City	Downey City CS	Los Angeles	Jason Wen	AGENCY Mailing	11111 Brookshire Boulevard 	Downey	90241		11/17/2006	12/31/2009		
4SSO10384	Active	4	Duarte City	Duarte City CS (SSO program)	Los Angeles	Alexander  Villarama	AGENCY Mailing	1600 Huntington Drive 	Duarte	91010		10/20/2006	12/31/2009		
4SSO10385	Active	4	El Monte City	El Monte City CS	Los Angeles	Elaine  Jeng	AGENCY Mailing	11333 Valley Boulevard 	El Monte	91731		11/03/2006	12/31/2009		
4SSO10386	Active	4	El Segundo City	El Segundo City CS	Los Angeles	Lifan  Xu	AGENCY Mailing	350 Main Street 	El Segundo	90245		09/19/2006	12/31/2009		
4SSO10387	Active	4	Gardena City	Gardena City CS	Los Angeles	Mike Duran	AGENCY Mailing	1700 162nd Street 	Gardena	90247		08/17/2006	12/31/2009		
4SSO10388	Active	4	Glendale City	Glendale City CS	Los Angeles	Roubik Golanian	AGENCY Mailing	548 Chevy Chase Drive 	Glendale	91204		08/03/2006	12/31/2009		
4SSO10389	Active	4	Glendora City	Glendora City CS	Los Angeles	Alexander  Villarama	AGENCY Mailing	116 Foothill Boulevard 	Glendora	91741		11/21/2006	12/31/2009		
4SSO10390	Active	4	Hawaiian Gardens City	Hawaiian Gardens City CS	Los Angeles	Alexander  Villarama	LRO Mailing	1000 Fremont Avenue 	Alhambra	91804		11/21/2006	12/31/2009		
4SSO10391	Active	4	Hawthorne City	Hawthorne City CS	Los Angeles	Michael  Goodson	AGENCY Mailing	4455 W 126th St Ste A  	Hawthorne	90250		10/30/2006	12/31/2009		
4SSO10392	Active	4	Hermosa Beach City	Hermosa Beach City CS	Los Angeles	Homayoun Behboodi	AGENCY Mailing	1315 Valley Drive 	Hermosa Beach	90254		10/16/2006	12/31/2009		
4SSO10393	Active	4	Huntington Park City	Huntington Park City CS	Los Angeles	Gregory  Korduner	AGENCY Mailing	6550 Miles Avenue 	Huntington Park	90255		07/17/2006	12/31/2009		
4SSO10394	Active	4	City of Industry	Industry City CS	Los Angeles	Robert Swartz	AGENCY Mailing	15651 Stafford Street 	City of Industry	91744		11/16/2006	12/31/2009		
4SSO10395	Active	4	Inglewood City	Inglewood City CS	Los Angeles	Louis  Atwell	AGENCY Mailing	One Manchester Boulevard 	Inglewood	90301		11/21/2006	12/31/2009		
4SSO10396	Active	4	Irwindale City	Irwindale City CS	Los Angeles	Alexander  Villarama	AGENCY Mailing	5050 Irwindale Avenue 	Irwindale	91706		11/21/2006	12/31/2009		
4SSO10397	Active	4	La Canada Flintridge City	La Canada Flintridge City CS	Los Angeles	Alexander  Villarama	AGENCY Mailing	1327 Foothill Boulevard 	La Canada Flintridge	91804		11/21/2006	12/31/2009		
4SSO10398	Active	4	La Habra Heights City	La Habra Heights City CS	Orange	Alexander  Villarama	LRO Mailing	1000 Fremont Avenue 	Alhambra	91804		10/16/2006	12/31/2009		
4SSO10399	Active	4	La Mirada City	La Mirada City CS	Los Angeles	Jeffrey Bouse	AGENCY Mailing	13700 La Mirada Boulevard 	La Mirada	90638		08/16/2006	12/31/2009		
4SSO10400	Active	4	La Puente City	La Puente City CS	Los Angeles	Alexander  Villarama	AGENCY Mailing	15900 Main Street 	La Puente	91744		09/01/2006	12/31/2009		
4SSO10401	Active	4	La Verne City	La Verne City CS	Los Angeles	Jerry Mesa	AGENCY Mailing	3660 D Street 	La Verne	91750		11/21/2006	12/31/2009		
4SSO10402	Active	4	Lakewood City	Lakewood City CS	Los Angeles	Alexander  Villarama	AGENCY Mailing	5050 Clark Avenue 	Lakewood	90712		11/03/2006	12/31/2009		
4SSO10403	Active	4	Lawndale City	Lawndale City CS	Los Angeles	Alexander  Villarama	AGENCY Mailing	14717 Burin Avenue 	Lawndale	90260		08/15/2006	12/31/2009		
4SSO10404	Active	4	Lomita City	Lomita City CS	Los Angeles	Mark  McAvoy	AGENCY Mailing	24300 Narbonne  	Lomita	90717		11/21/2006	12/31/2009		
4SSO10407	Active	4	Lynwood City	Lynwood City CS	Los Angeles	George Cambero	AGENCY Mailing	11330 Bullis Road 	Lynwood	90262		10/30/2006	12/31/2009		
4SSO10408	Active	4	Manhattan Beach City	Manhattan Beach City CS (SSO program)	Los Angeles	Shawn  Igoe	AGENCY Mailing	1400 Highland Avenue 	Manhattan Beach	90266		10/16/2006	12/31/2009		
4SSO10409	Active	4	Maywood City	Maywood City CS	Los Angeles	Reuben Martinez	AGENCY Mailing	4319 Slauson Avenue 	Maywood	90270		10/19/2006	12/31/2009		
4SSO10410	Active	4	Monrovia City	Monrovia City CS	Los Angeles	Tina Cherry	AGENCY Mailing	600 Mountain Avenue 	Monrovia	91016		11/22/2006	12/31/2009		
4SSO10411	Active	4	Montebello City	Montebello City CS	Los Angeles	Richard  Torres	AGENCY Mailing	1600 Beverly Boulevard 	Montebello	90640		09/21/2006	12/31/2009		
4SSO10412	Active	4	Monterey Park City	Monterey Park City CS	Los Angeles	Freddie  Banuelos	AGENCY Mailing	320 Newmark Avenue 	Monterey Park	91754		11/21/2006	12/31/2009		
4SSO10413	Active	4	Norwalk City	Norwalk City CS	Los Angeles	Inez Alvarez	AGENCY Mailing	12700 Norwalk Boulevard 	Norwalk	90650		10/18/2006	12/31/2009		
4SSO10414	Active	4	Palos Verdes Estates City	Palos Verdes Estates City CS	Los Angeles	Alexander  Villarama	AGENCY Mailing	340 Palos Verdes Drive 	Palos Verdes Estates	91804		10/20/2006	12/31/2009		
4SSO10415	Active	4	Paramount City	Paramount City CS	Los Angeles	Alexander  Villarama	AGENCY Mailing	16400 Colorado Avenue 	Paramount	90723		08/21/2006	12/31/2009		
4SSO10416	Active	4	Pasadena City	Pasadena City CS	Los Angeles	Steven  Wright	AGENCY Mailing	100 Garfield Avenue 	Pasadena	91101		11/17/2006	12/31/2009		
4SSO10417	Active	4	Pico Rivera City	Pico Rivera City CS	Los Angeles	Martin  Moreno	AGENCY Mailing	6615 Passons Boulevard 	Pico Rivera	90660		08/24/2006	12/31/2009		
4SSO10418	Active	4	Pomona City	Pomona City CS	Los Angeles	Nick  Copagni	AGENCY Mailing	505 Garey Avenue 	Pomona	91766		08/10/2006	12/31/2009		
4SSO10419	Active	4	Port Hueneme City	Port Hueneme City CS	Ventura	Fred  Camarillo	AGENCY Mailing	250 Ventura Road 	Port Hueneme	93041		10/30/2006	12/31/2009		
4SSO10420	Active	4	Rancho Palos Verdes City	Rancho Palos Verdes City CS	Los Angeles	Alexander  Villarama	AGENCY Mailing	30940 Hawthorne Boulevard 	Rancho Palos Verdes	90275		08/24/2006	12/31/2009		
4SSO10421	Active	4	Redondo Beach City	Redondo Beach City CS	Los Angeles	Andrew  Winje	AGENCY Mailing	415 Diamond Street 	Redondo Beach	90277		11/22/2006	12/31/2009		
4SSO10422	Historical	4	Rolling Hills City	Rolling Hills City CS	Los Angeles	Craig  Nealis	AGENCY Mailing	2 Portugese Bend Road 	Rolling Hills	90274				09/25/2008	
4SSO10423	Active	4	Rolling Hills Estates City	Rolling Hills City Estates CS	Los Angeles	Alexander  Villarama	AGENCY Mailing	4045 Palos Verdes Drive 	Rolling Hills Estates	90274		11/17/2006	12/31/2009		
4SSO10424	Active	4	Rosemead City	Rosemead City CS	Los Angeles	Alexander  Villarama	AGENCY Mailing	8838 Valley Boulevard 	Rosemead	91770		11/21/2006	12/31/2009		
4SSO10425	Active	4	San Dimas City	San Dimas City CS	Los Angeles	Alexander  Villarama	AGENCY Mailing	245 Bonita Avenue 	San Dimas	91804		10/30/2006	12/31/2009		
4SSO10426	Active	4	San Fernando City	San Fernando City CS	Los Angeles	Kenneth Jones	AGENCY Mailing	117 MacNeil Street 	San Fernando	91340		11/17/2006	12/31/2009		
4SSO10427	Active	4	San Gabriel City	San Gabriel City CS	Los Angeles	Daren Grilley	AGENCY Mailing	425 Mission Drive 	San Gabriel	91776		08/16/2006	12/31/2009		
4SSO10428	Active	4	San Marino City	San Marino City CS	Los Angeles	DANNY MENDEZ	AGENCY Mailing	2200 Hungtington Drive 	San Marino	91108		08/24/2006	12/31/2009		
4SSO10429	Active	4	Santa Clarita City	Santa Clarita City CS	Los Angeles	Robert Swartz	AGENCY Mailing	23920 Valencia Boulevard 	Santa Clarita	91355		11/21/2006	12/31/2009		
4SSO10430	Active	4	Santa Fe Springs City	Santa Fe Springs City CS	Los Angeles	Robert Swartz	AGENCY Mailing	11710 Telegraph Road 	Santa Fe Spings	90670		08/15/2006	12/31/2009		
4SSO10431	Active	4	Santa Monica City	Santa Monica City CS	Los Angeles	Christopher Aguillon	AGENCY Mailing	1685 Main Street 	Santa Monica	90401		08/24/2006	12/31/2009		
4SSO10432	Active	4	Sierra Madre City	Sierra Madre City CS	Los Angeles	Christopher Michael Cimino	AGENCY Mailing	232 Sierra Madre Boulevard 	Sierra Madre	91024		09/27/2006	12/31/2009		
4SSO10433	Historical	4	Signal Hill City	Signal Hill City CS	Los Angeles		AGENCY Mailing	2175 Cherry Avenue 	Signal Hill	90755				01/26/2009	
4SSO10434	Active	4	South El Monte City	South El Monte City CS	Los Angeles	Jeffrey Bouse	AGENCY Mailing	1415 Santa Anita Avenue 	South El Monte	91733		11/21/2006	12/31/2009		
4SSO10435	Active	4	South Gate City	South Gate City CS	Los Angeles	Ray  Valenzuela	AGENCY Mailing	4244 Santa Ana Street 	South Gate	90280	05/02/2006	10/16/2006	05/02/2011		
4SSO10436	Active	4	South Pasadena City	South Pasadena City CS	Los Angeles	Kristine Courdy	AGENCY Mailing	1414 Mission Street 	South Pasadena	91030		09/05/2006	12/31/2009		
4SSO10437	Active	4	Temple City	Temple City CS	Los Angeles	Alexander  Villarama	AGENCY Mailing	9701 Las Tunas Drive 	Temple City	91780		08/10/2006	12/31/2009		
4SSO10439	Active	4	Torrance City	Torrance City CS	Los Angeles	Mike  Woolsey	AGENCY Mailing	3031 Torrance Blvd  	Torrance	90503		07/27/2006	12/31/2009		
4SSO10440	Active	4	Vernon City	Vernon City CS	Los Angeles	Scott B. Rigg	AGENCY Mailing	4305 Santa Fe Avenue 	Vernon	90058		08/25/2006	12/31/2009		
4SSO10441	Active	4	Walnut City	Walnut City CS	Los Angeles	Alexander  Villarama	AGENCY Mailing	21201 La Puente Road 	Walnut	91879		11/17/2006	12/31/2009		
4SSO10442	Active	4	West Covina City	West Covina CS	Los Angeles	Delfino Chino Cunsunji	AGENCY Mailing	 PO Box 1440  	West Covina	91793		10/11/2006	12/31/2009		
4SSO10443	Active	4	Whittier City	Whittier City CS	Los Angeles	Dave Schickling	AGENCY Mailing	13230 Penn Street 	Whittier	90602		09/05/2006	12/31/2009		
4SSO10444	Active	4	Crescenta Valley Water District	Crescenta Valley County Water CS	Los Angeles	Christy Scott	AGENCY Mailing	2700 Foothill Boulevard 	La Crescenta	91214		09/12/2006	12/31/2009		
4SSO10445	Active	4	US Dept of Veterans Affairs	US Department of Veteran Affairs CS	Los Angeles	Joseph Olson	AGENCY Mailing	11301 Wilshire Boulevard Bldg 218 Rm 308	Los Angeles	90073		12/13/2006	12/31/2009		
4SSO10446	Historical	4	Federal Office Building West Los Angeles	Federal Office Bldg West L.A. CS	Los Angeles	Bettye  Porter	AGENCY Mailing	11000 Wilshire Boulevard 	Los Angeles	90024		04/12/2006		09/25/2008	
4SSO10449	Active	4	Thousand Oaks City 	Municipal Service Center	Ventura	John P Smallis	AGENCY Mailing	2100 Thousand Oaks Boulevard 	Thousand Oaks	91362		10/30/2006	12/31/2009		
4SSO10450	Active	4	Los Angeles City Bureau of Sanitation	Hyperion CS	Los Angeles	Brian McCormick	AGENCY Mailing	1149 Broadway Street 9th Flr	Los Angeles	90015		11/22/2006	12/31/2009		
4SSO10452	Active	4	Los Angeles Cnty ISD Risk Management	Karl Holton Camp CS	Los Angeles	Richard  Lugo	AGENCY Mailing	1100 Eastern Avenue 	Los Angeles	90063		08/24/2006	12/31/2009		
4SSO10460	Active	4	Las Virgenes MWD	Las Virgenes MWD CS	Los Angeles	Brett Dingman	AGENCY Mailing	4232 Las Virgenes Road 	Calabasas	91302		08/17/2006	12/31/2009		
4SSO10465	Active	4	Los Angeles Cnty DPW	Malibu Mesa Zone of the CSMD CS	Los Angeles	Jeffrey Bouse	AGENCY Physical	900 Fremont Avenue 5th Floor	Alhambra	91803		11/03/2006	12/31/2009		
4SSO10466	Historical	4	CA Dept of Parks & Rec Calabasas	Malibu Pier State Park CS	Los Angeles		AGENCY Mailing	1925 Las Virgenes Road 	Calabasas	91302				01/27/2009	
4SSO10467	Historical	4	Los Angeles Cnty DPW	Malibu Zone of the CSMD CS	Los Angeles		AGENCY Physical	900 Fremont Avenue 5th Floor	Alhambra	91803				10/21/2008	
4SSO10469	Active	4	Montalvo Community Services District	Montalvo CS	Ventura	Richard  Hajas	AGENCY Mailing	3555 Ventura Road 	Ventura	93003		07/17/2006	12/31/2009		
